"CommonName","CombinedLatin","median_Total_SiteYear","presence_SiteYear","presence_Site","presence_Year","presence_Site_5years","presence_Site_10years","zeros_too_Site_5years","zeros_too_Site_10years"
"Acadian Hairstreak","Satyrium acadicum acadicum",0,52,12,21,3,2,9,7
"American Copper","Lycaena phlaeas americana",0,287,71,21,16,8,59,37
"American Lady","Vanessa virginiensis",0,437,100,21,33,13,81,50
"American Snout Butterfly","Libytheana carinenta bachmanii",0,275,72,19,22,6,60,42
"Aphrodite Fritillary","Speyeria aphrodite aphrodite",0,98,36,20,5,1,31,21
"Appalachian Azure","Celastrina neglectamajor",0,9,7,6,0,0,5,4
"Appalachian Eyed Brown","Satyrodes appalachia leeuwi",0,104,37,21,7,2,26,15
"Azures","Celastrina ladon ladon",32,1106,143,21,89,53,91,54
"Baltimore","Euphydryas phaeton phaeton",0,52,20,20,3,1,15,9
"Banded Hairstreak","Satyrium calanus falacer",0,290,80,21,24,5,65,43
"Black Dash","Euphyes conspicuus conspicuus",0,39,23,19,1,0,20,15
"Black Swallowtail","Papilio polyxenes asterius",4,891,134,21,77,36,91,54
"Broad-winged Skipper","Poanes viator viator",0,49,13,17,3,2,13,9
"Bronze Copper","Lycaena hyllus",0,152,53,21,13,0,46,31
"Cabbage White","Pieris rapae",127,1130,141,21,91,54,91,54
"Carolina Satyr","Hermeuptychia sosybius",0,55,15,16,4,1,10,6
"Checkered White","Pontia protodice",0,21,15,10,0,0,13,8
"Clouded Sulphur","Colias philodice philodice",21,1063,139,21,90,48,91,54
"Cloudless Sulphur","Phoebis sennae eubule",0,199,63,20,13,1,57,38
"Cobweb Skipper","Hesperia metea metea",3,2,1,2,0,0,0,0
"Common Buckeye","Junonia coenia",1,637,120,19,52,20,89,54
"Common Checkered-Skipper","Pyrgus communis",0,230,67,19,21,2,53,32
"Common Ringlet","Coenonympha tullia inornata",0,1,1,1,0,0,1,0
"Common Roadside Skipper","Amblyscirtes vialis",0,41,19,15,2,0,14,11
"Common Sooty Wing","Pholisora catullus",0,259,78,20,23,2,62,42
"Common Wood Nymph","Cercyonis pegala alope",5,797,119,21,60,34,86,54
"Compton Tortoiseshell","Nymphalis vau-album j-album",0,9,7,4,0,0,6,5
"Coral Hairstreak","Satyrium titus titus",0,142,32,21,13,4,26,21
"Crossline Skipper","Polites origenes origenes",0,229,63,21,17,5,50,32
"Dainty Sulphur","Nathalis iole",0,27,26,3,0,0,23,14
"Delaware Skipper","Atrytone logan logan",0,214,72,21,12,2,58,38
"Dion Skipper","Euphyes dion",0,17,9,13,1,0,9,6
"Dreamy Duskywing","Erynnis icelus",0,166,45,21,13,4,35,25
"Duke's Skipper","Euphyes dukesi",0,26,7,12,3,1,7,4
"Dun Skipper","Euphyes vestris metacomet",0,383,95,21,27,12,74,43
"Dusky Azure","Celastrina nigra",0,2,2,2,0,0,1,1
"Dusted Skipper","Atrytonopsis hianna hianna",0,21,6,9,2,0,6,3
"Eastern Comma","Polygonia comma",2,806,124,21,68,34,89,53
"Eastern Pine Elfin","Callophrys niphon niphon",0,9,6,7,0,0,5,4
"Eastern Tailed Blue","Everes comyntas comyntas",23,1003,132,21,81,42,91,54
"Eastern Tiger Swallowtail","Papilio glaucus glaucus",14,1046,136,21,83,48,91,54
"Edwards' Hairstreak","Satyrium edwardsii",0,33,9,15,3,1,8,7
"European Skipper","Thymelicus lineola",1,469,90,21,36,14,73,50
"Falcate Orangetip","Anthocharis midea annickae",1,89,20,18,7,3,11,7
"Fiery Skipper","Hylephila phyleus phyleus",0,367,95,20,29,3,80,50
"Frosted Elfin","Callophrys irus irus",0,10,2,8,1,0,2,1
"Gemmed Satyr","Cyllopsis gemma gemma",1,68,13,16,5,3,8,6
"Giant Swallowtail","Papilio cresphontes",0,302,74,21,22,11,56,36
"Goatweed Leafwing","Anaea andria",0,2,2,2,0,0,2,1
"Gold-banded Skipper","Autochton cellus",0,9,6,6,0,0,2,1
"Gray Comma","Polygonia progne progne",0,9,7,7,0,0,6,5
"Gray Hairstreak","Strymon melinus humuli",0,415,90,19,33,11,73,46
"Great Spangled Fritillary","Speyeria cybele cybele",10,932,133,21,74,38,89,52
"Hackberry Emperor","Asterocampa celtis celtis",2,429,72,20,37,19,52,35
"Harris' Checkerspot","Chlosyne harrisii harrisii",0,7,3,6,1,0,3,3
"Harvester","Feniseca tarquinius tarquinius",0,87,39,20,6,0,35,23
"Hayhurst's Scallopwing","Staphylus hayhurstii",0,8,5,6,0,0,2,1
"Henry's Elfin","Callophrys henrici henrici",0,50,13,17,4,1,8,6
"Hickory Hairstreak","Satyrium caryaevorum",0,77,29,20,5,0,24,16
"Hoary Edge Skipper","Achalarus lyciades",0,68,24,20,4,1,19,11
"Hobomok Skipper","Poanes hobomok hobomok",1,491,95,21,39,15,71,43
"Horace's Duskywing","Erynnis horatius",0,319,76,21,22,10,58,35
"Indian Skipper","Hesperia sassacus sassacus",0,31,15,14,2,0,12,11
"Juvenal's Duskywing","Erynnis juvenalis juvenalis",1,377,71,21,28,14,54,38
"Karner Blue","Lycaeides melissa samuelis",0,13,3,10,2,0,3,2
"Least Skipper","Ancyloxypha numitor",6,805,119,21,63,30,88,54
"Leonard's Skipper","Hesperia leonardus leonardus",0,96,27,20,6,3,23,17
"Little Glassy Wing","Pompeius verna",1,521,91,21,41,16,68,42
"Little Wood Satyr","Megisto cymela cymela",27,942,132,21,70,42,88,51
"Little Yellow","Eurema lisa lisa",0,184,72,19,9,1,63,37
"Long-tailed Skipper","Urbanus proteus",0,2,2,2,0,0,1,1
"Long Dash","Polites mystic mystic",0,180,39,21,13,4,33,21
"Meadow Fritillary","Boloria bellona bellona",0,402,100,21,33,7,76,49
"Milbert's Tortoise Shell","Nymphalis milberti milberti",0,52,27,17,2,0,24,18
"Monarch","Danaus plexippus",19,1105,140,21,90,54,91,54
"Mottled Duskywing","Erynnis martialis",0,3,3,3,0,0,3,3
"Mourning Cloak","Nymphalis antiopa antiopa",1,733,130,21,60,22,91,54
"Mulberry Wing","Poanes massasoit massasoit",0,9,3,9,1,0,2,1
"Mustard White","Pieris napi oleracea",0,2,2,2,0,0,1,1
"Northern Broken-Dash","Wallengrenia egeremet",1,418,81,21,32,13,63,36
"Northern Cloudywing","Thorybes pylades",0,146,41,21,9,3,32,24
"Northern Crescent","Phyciodes selenis",0,6,6,6,0,0,4,2
"Northern Eyed Brown","Satyrodes eurydice eurydice",0,128,40,21,8,3,32,23
"Northern Hairstreak","Fixsenia favonius ontario",0,5,5,4,0,0,5,3
"Northern Metalmark","Calephelis borealis",0,14,8,10,1,0,5,5
"Northern Pearly-Eye","Enodia anthedon",0,347,76,21,28,11,56,36
"Ocola Skipper","Panoquina ocola",0,25,13,11,0,0,11,7
"Olive Hairstreak","Callophrys gryneus gryneus",0,46,7,16,4,3,6,6
"Orange Sulphur","Colias eurytheme",27,1050,136,21,83,47,91,54
"Painted Lady","Vanessa cardui",0,552,120,21,47,14,90,54
"Pearl Crescent","Phyciodes tharos tharos",77,1108,144,21,89,49,91,54
"Peck's Skipper","Polites peckius",7,876,122,21,72,37,88,52
"Pepper and Salt Skipper","Amblyscirtes hegon",0,24,10,13,1,0,6,5
"Persius Duskywing","Erynnis persius persius",0,6,3,5,0,0,3,3
"Pipevine Swallowtail","Battus philenor philenor",0,204,60,20,17,4,44,25
"Purplish Copper","Lycaena helloides",0,1,1,1,0,0,1,1
"Question Mark","Polygonia interrogationis",2,792,126,21,68,30,90,54
"Red-banded Hairstreak","Calycopis cecrops",0,99,25,18,6,3,18,14
"Red-spotted Purple","Limenitis arthemis astyanax",2,821,130,21,67,32,91,54
"Red Admiral","Vanessa atalanta rubria",4,931,139,21,79,40,91,54
"Sachem","Atalopedes campestris huron",0,144,50,19,8,4,43,27
"Silver-bordered Fritillary","Boloria selene myrina",0,16,7,12,1,0,7,6
"Silver-spotted Skipper","Epargyreus clarus clarus",19,1059,139,21,85,45,90,54
"Silvery Blue","Glaucopsyche lygdamus lygdamus",0,6,4,5,0,0,2,2
"Silvery Checkerspot","Chlosyne nycteis nycteis",0,217,54,19,16,5,40,25
"Sleepy Duskywing","Erynnis brizo brizo",0,109,30,19,10,2,24,15
"Sleepy Orange","Eurema nicippe",0,38,13,18,2,1,12,8
"Southern Cloudywing","Thorybes bathyllus",0,121,33,20,9,2,26,18
"Southern Dogface","Colias cesonia cesonia",0,21,14,10,0,0,11,9
"Spicebush Swallowtail","Papilio troilus troilus",4,804,117,21,62,31,81,49
"Striped Hairstreak","Satyrium liparops strigosum",0,86,31,19,4,1,27,21
"Swarthy Skipper","Nastra lherminier",0,81,26,18,7,1,21,15
"Tawny-edged Skipper","Polites themistocles",0,390,84,21,35,11,67,37
"Tawny Emperor","Asterocampa clyton clyton",0,204,56,19,16,5,45,30
"Variegated Fritillary","Euptoieta claudia",0,156,62,20,12,2,54,31
"Viceroy","Limenitis archippus archippus",2,767,122,21,66,29,88,53
"West Virginia White","Pieris virginiensis",0,44,14,17,4,1,11,7
"White Admiral","Limenitis arthemis arthemis",0,6,6,5,0,0,3,3
"White M Hairstreak","Parrhasius m-album",0,69,34,16,2,1,30,22
"Wild Indigo Duskywing","Erynnis baptisiae",1,456,82,19,39,17,66,40
"Zabulon Skipper","Poanes zabulon",3,668,106,21,55,22,79,49
"Zebra Swallowtail","Eurytides marcellus marcellus",1,204,38,18,15,8,28,19
