CheckListKey,CombinedLatin,CommonName,BroodsGAMmin,BroodsGAMmax,UseMV,SyncedBroods,UseMismatch,Notes,HostCategory,Model,MclustParam,ApproxLambdas,RegionsModeled,OutlierCutoff,Countys,Endangered,Synonym,MinBrood,MaxBroodNumb,ResStatus,WinterStage,GenvsSpec,BroodsIftner,Brood Notes,Status,Distribution,Hostplants,BroodsCech,Overwinter,Ecology,Notes
4278,Satyrium acadicum acadicum,Acadian Hairstreak,1,1,n,1,y,,woody,mclust,NA,20,3,,11,"res., rare to uncommon, northernly",,1,1,resident,egg,med_specialist,1,,resident,glaciated,various Salix,1,eggs,medium specialist,
4434,Vanessa virginiensis,American Lady,2,2,n,2,n,"Migratory, synced by day",forb,migrant,NA,NA,NA,,76,"res., uncommon to common",,2,4,resident,adult,generalist,"3,4",4th brood occasional,resident,statewide,"Anaphalis, Gnaphalium, Antennaria",2 to 4,adults,generalist,"winters farther north than other Vanessas, but still migrates"
4410,Libytheana carinenta bachmanii,American Snout Butterfly,2,3,n,1,n,"Migratory, fall synced by day",woody,migrant,NA,NA,NA,,58,"regular immigrant or res., uncommon to rare",L. bachmanii b.,2,2,resident,adult,NA,2,,regular immigrant or resident in south,"statewide, more common in glaciated",hackberries,2,adults in South,mass emigrations in SW,
4451,Speyeria aphrodite aphrodite,Aphrodite Fritillary,1,2,n,1,n,bimodal by sex,forb,mclust,NA,15,4,,30,"res., rare to common, northernly and southeastern",,1,1,resident,larva,med_generalist,1,,resident,eastern OH,viola,"1, protandry",1st instar larva unfed,medium generalist,
1,Satyrodes appalachia leeuwi,Appalachian Eyed Brown,1,2,n,1,y,slight partial 2nd in 1 region,gram,mclust,NA,20,4,,27,"res., rare to uncommon, localized",,1,1,resident,larva,med_generalist,1,2 possible in greenhouse/KY,resident,glaciated OH,sedges,"1 long in North, 2 in South",3rd or 4th instar larva,medium generalist,
4363,Celastrina ladon ladon,Azures,2,5,n,3,n,"species complex, 1st gen missing in some regions",woody,gam,NA,150,9,,116,"res., common",Celastrina argiolus ladon,3,4,resident,pupa,generalist,"3,4",overlapping,resident,statewide,dogwood buds,1,pupa,NA,lumped together until distinguishable
4516,Euphydryas phaeton phaeton,Baltimore,1,1,n,1,y,remove outlier,forb,mclust,NA,15,3,<1000,17,"res., rare to uncommon, northeasternly",,1,1,resident,larva,med_specialist,1,,resident,"statewide, uncommon in northwest","Turtleheads, gerardias, after diapause plantains and ash",1,4th instar larva in leafy debris,medium specialist,
4282  a,Satyrium calanus falacer,Banded Hairstreak,1,2,n,1,y,"questionable 2nd brood, keep 1st only",woody,mclust,NA,40,8,,66,"res., uncommon to common",,1,1,resident,egg,med_generalist,1,,resident,statewide,many oaks and hickories,1,eggs,Medium generalist,
4075,Euphyes conspicuus conspicuus,Black Dash,1,1,n,1,n,,gram,univoltine,NA,4,2,,17,"res., uncommon, northernly",,1,1,resident,larva,med_specialist,1,,resident,northern half,sedges,1,early instar,medium specialist,
4064,Poanes viator viator,Broad-winged Skipper,1,1,n,1,y,,gram,mclust,NA,10,2,,12,"res., uncommon",,1,1,resident,larva,med_generalist,1,,resident,northern half,"Phragmites, wild rice","1 long in North, 2 in South",larva,medium generalist,
